Region,Source,Year,Data,Unit
BC,Biomass,2005,3254,GWh
BC,Biomass,2006,3254,GWh
BC,Biomass,2007,3254,GWh
BC,Biomass,2008,2739,GWh
BC,Biomass,2009,2163,GWh
BC,Biomass,2010,3848,GWh
BC,Biomass,2011,4165,GWh
BC,Biomass,2012,4289,GWh
BC,Biomass,2013,4121,GWh
BC,Biomass,2014,3964,GWh
BC,Biomass,2015,3711,GWh
AB,Biomass,2005,1725.168,GWh
AB,Biomass,2006,1855.169,GWh
AB,Biomass,2007,1870.362,GWh
AB,Biomass,2008,1917.388,GWh
AB,Biomass,2009,1861.5,GWh
AB,Biomass,2010,1908.777,GWh
AB,Biomass,2011,1972.19,GWh
AB,Biomass,2012,2089.11769,GWh
AB,Biomass,2013,2250.1,GWh
AB,Biomass,2014,2065.2,GWh
AB,Biomass,2015,2148.5,GWh
SK,Biomass,2005,0,GWh
SK,Biomass,2006,0,GWh
SK,Biomass,2007,0,GWh
SK,Biomass,2008,0,GWh
SK,Biomass,2009,0,GWh
SK,Biomass,2010,0,GWh
SK,Biomass,2011,0,GWh
SK,Biomass,2012,0,GWh
SK,Biomass,2013,0,GWh
SK,Biomass,2014,0,GWh
SK,Biomass,2015,0,GWh
MB,Biomass,2005,27.4332,GWh
MB,Biomass,2006,32.4725,GWh
MB,Biomass,2007,26.8716,GWh
MB,Biomass,2008,38.1296,GWh
MB,Biomass,2009,0,GWh
MB,Biomass,2010,0,GWh
MB,Biomass,2011,0,GWh
MB,Biomass,2012,38.6769,GWh
MB,Biomass,2013,41.8655,GWh
MB,Biomass,2014,44.6735,GWh
MB,Biomass,2015,44.9414,GWh
ON,Biomass,2005,1251.614,GWh
ON,Biomass,2006,1251.614,GWh
ON,Biomass,2007,1251.614,GWh
ON,Biomass,2008,2668.616,GWh
ON,Biomass,2009,1159.3598,GWh
ON,Biomass,2010,1322.066,GWh
ON,Biomass,2011,1206.4482,GWh
ON,Biomass,2012,1242.5195,GWh
ON,Biomass,2013,1701.6495,GWh
ON,Biomass,2014,2962.2138,GWh
ON,Biomass,2015,3898.5837,GWh
QC,Biomass,2005,646,GWh
QC,Biomass,2006,646,GWh
QC,Biomass,2007,646,GWh
QC,Biomass,2008,439,GWh
QC,Biomass,2009,550,GWh
QC,Biomass,2010,844,GWh
QC,Biomass,2011,1089,GWh
QC,Biomass,2012,1233,GWh
QC,Biomass,2013,1614,GWh
QC,Biomass,2014,1724,GWh
QC,Biomass,2015,2053,GWh
NB,Biomass,2005,653,GWh
NB,Biomass,2006,653,GWh
NB,Biomass,2007,653,GWh
NB,Biomass,2008,672,GWh
NB,Biomass,2009,664,GWh
NB,Biomass,2010,577,GWh
NB,Biomass,2011,565,GWh
NB,Biomass,2012,574,GWh
NB,Biomass,2013,550,GWh
NB,Biomass,2014,606,GWh
NB,Biomass,2015,606,GWh
NS,Biomass,2005,317.8015,GWh
NS,Biomass,2006,317.8015,GWh
NS,Biomass,2007,317.8015,GWh
NS,Biomass,2008,322.1035,GWh
NS,Biomass,2009,244.8211,GWh
NS,Biomass,2010,378.4091,GWh
NS,Biomass,2011,362.7333,GWh
NS,Biomass,2012,386.655,GWh
NS,Biomass,2013,330.8641,GWh
NS,Biomass,2014,648.0556,GWh
NS,Biomass,2015,640.8295,GWh
PE,Biomass,2005,0,GWh
PE,Biomass,2006,0,GWh
PE,Biomass,2007,0,GWh
PE,Biomass,2008,5.458,GWh
PE,Biomass,2009,4.816,GWh
PE,Biomass,2010,5.077,GWh
PE,Biomass,2011,5.119,GWh
PE,Biomass,2012,4.998,GWh
PE,Biomass,2013,4.891,GWh
PE,Biomass,2014,6.56677,GWh
PE,Biomass,2015,4.36073,GWh
NF,Biomass,2005,0,GWh
NF,Biomass,2006,0,GWh
NF,Biomass,2007,0,GWh
NF,Biomass,2008,0,GWh
NF,Biomass,2009,0,GWh
NF,Biomass,2010,0,GWh
NF,Biomass,2011,0,GWh
NF,Biomass,2012,0,GWh
NF,Biomass,2013,0,GWh
NF,Biomass,2014,0,GWh
NF,Biomass,2015,0,GWh
NWT,Biomass,2005,0,GWh
NWT,Biomass,2006,0,GWh
NWT,Biomass,2007,0,GWh
NWT,Biomass,2008,0,GWh
NWT,Biomass,2009,0,GWh
NWT,Biomass,2010,0,GWh
NWT,Biomass,2011,0,GWh
NWT,Biomass,2012,0,GWh
NWT,Biomass,2013,0,GWh
NWT,Biomass,2014,0,GWh
NWT,Biomass,2015,0,GWh
YT,Biomass,2005,0,GWh
YT,Biomass,2006,0,GWh
YT,Biomass,2007,0,GWh
YT,Biomass,2008,0,GWh
YT,Biomass,2009,0,GWh
YT,Biomass,2010,0,GWh
YT,Biomass,2011,0,GWh
YT,Biomass,2012,0,GWh
YT,Biomass,2013,0,GWh
YT,Biomass,2014,0,GWh
YT,Biomass,2015,0,GWh
NU,Biomass,2005,0,GWh
NU,Biomass,2006,0,GWh
NU,Biomass,2007,0,GWh
NU,Biomass,2008,0,GWh
NU,Biomass,2009,0,GWh
NU,Biomass,2010,0,GWh
NU,Biomass,2011,0,GWh
NU,Biomass,2012,0,GWh
NU,Biomass,2013,0,GWh
NU,Biomass,2014,0,GWh
NU,Biomass,2015,0,GWh
Canada,Biomass,2005,7875.0167,GWh
Canada,Biomass,2006,8010.057,GWh
Canada,Biomass,2007,8019.6491,GWh
Canada,Biomass,2008,8801.6951,GWh
Canada,Biomass,2009,6647.4969,GWh
Canada,Biomass,2010,8883.3291,GWh
Canada,Biomass,2011,9365.4905,GWh
Canada,Biomass,2012,9857.96709,GWh
Canada,Biomass,2013,10614.3701,GWh
Canada,Biomass,2014,12020.70967,GWh
Canada,Biomass,2015,13107.21533,GWh
BC,Hydro,2005,60327.016,GWh
BC,Hydro,2006,54247.228,GWh
BC,Hydro,2007,64287.014,GWh
BC,Hydro,2008,58699.09,GWh
BC,Hydro,2009,56462.248,GWh
BC,Hydro,2010,54151.855,GWh
BC,Hydro,2011,61037.382,GWh
BC,Hydro,2012,65140.911,GWh
BC,Hydro,2013,59223.454,GWh
BC,Hydro,2014,57572.873,GWh
BC,Hydro,2015,57374.361,GWh
AB,Hydro,2005,2316,GWh
AB,Hydro,2006,1966.38,GWh
AB,Hydro,2007,2113.03,GWh
AB,Hydro,2008,2149.92,GWh
AB,Hydro,2009,1695.3,GWh
AB,Hydro,2010,1620,GWh
AB,Hydro,2011,2035.623272,GWh
AB,Hydro,2012,2318.68,GWh
AB,Hydro,2013,2027.8,GWh
AB,Hydro,2014,1861.1,GWh
AB,Hydro,2015,1709,GWh
SK,Hydro,2005,4572.91,GWh
SK,Hydro,2006,4031.938,GWh
SK,Hydro,2007,4392.985,GWh
SK,Hydro,2008,4029.869,GWh
SK,Hydro,2009,2961.924,GWh
SK,Hydro,2010,3866.048,GWh
SK,Hydro,2011,4641.153,GWh
SK,Hydro,2012,4240.378,GWh
SK,Hydro,2013,4448.811,GWh
SK,Hydro,2014,4706.09,GWh
SK,Hydro,2015,3425.612,GWh
