Share of renewables in electricity production (%),,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
World,19.74,19.66,19.59,20.21,19.96,20.28,19.97,19.84,19.49,19.11,18.79,18.31,18.23,17.82,18.23,18.36,18.50,18.23,18.89,19.65,19.91,20.26,21.20,21.97,22.66,23.33,24.38
OECD,17.71,17.45,17.36,17.93,16.94,17.57,17.55,17.36,16.60,16.33,16.14,15.35,15.67,15.46,15.70,15.68,16.11,15.92,16.81,17.86,18.18,19.51,20.47,21.70,22.53,23.35,24.46
G7,15.11,15.09,14.70,15.13,14.47,15.06,15.51,15.15,14.11,14.05,13.54,12.74,13.57,13.65,13.69,13.47,14.09,13.80,14.62,15.83,15.77,17.68,18.26,19.57,20.37,21.17,22.54
BRICS,24.22,23.96,24.10,24.72,25.70,25.58,24.10,24.43,25.05,23.86,23.34,23.31,22.31,20.96,21.86,21.88,21.25,21.00,21.67,22.13,22.29,21.24,22.62,22.76,23.76,24.64,26.00
Europe,18.08,18.21,19.13,19.71,19.65,19.66,18.74,19.17,19.63,19.76,20.13,19.86,18.89,17.97,19.27,19.73,19.83,20.52,21.82,23.58,25.21,25.24,28.37,30.92,32.30,33.64,34.22
European Union,12.63,12.95,13.64,13.90,14.15,13.94,13.56,13.90,14.35,14.40,14.78,15.29,13.89,13.65,14.79,14.91,15.46,16.25,17.56,19.47,21.11,21.44,24.23,27.20,29.20,29.87,30.39
Belgium,1.67,1.79,1.98,1.80,1.99,2.10,2.00,1.98,2.24,2.36,2.72,2.85,2.76,2.67,3.25,3.93,4.93,5.38,6.79,7.53,8.25,10.64,14.18,15.52,18.44,21.75,17.79
Czech Rep.,2.32,2.18,2.76,2.98,3.57,4.40,4.19,3.98,3.79,4.47,3.86,4.01,4.39,2.75,3.89,4.58,5.01,4.36,4.89,6.33,7.56,9.08,10.04,11.73,11.89,12.78,13.03
France,14.10,13.97,16.12,14.79,17.45,15.89,14.16,13.92,13.45,15.21,13.74,14.92,12.46,12.07,12.07,10.62,11.79,12.57,13.69,13.93,14.59,12.37,15.54,17.79,17.27,16.57,18.13
Germany,3.90,3.85,4.38,4.62,5.18,5.66,5.62,4.82,5.20,5.84,6.89,7.23,8.39,8.34,10.20,11.13,12.26,14.87,15.50,16.87,17.57,21.14,23.75,24.76,26.82,29.88,30.05
Italy,17.71,22.05,21.81,21.67,22.14,18.88,20.97,20.34,20.25,21.73,20.81,22.03,19.65,18.54,20.25,18.21,18.17,17.01,19.98,25.14,26.57,28.06,31.48,39.31,43.74,38.15,37.27
Netherlands,1.12,1.26,1.29,1.44,1.58,1.73,2.13,2.33,2.56,2.89,3.32,3.53,4.14,4.09,5.24,7.45,8.15,7.21,8.86,9.53,9.39,10.81,12.11,11.98,11.32,12.42,13.46
Poland,2.47,2.59,2.77,2.72,2.83,2.82,2.82,2.79,3.19,3.15,2.99,3.21,3.05,2.55,3.12,3.46,3.26,3.78,4.64,6.11,7.27,8.30,10.67,10.71,12.82,14.29,15.45
Portugal,35.08,33.45,19.83,30.94,37.24,28.56,46.02,41.81,36.49,20.78,30.30,34.58,22.10,38.49,27.92,18.57,33.01,35.08,32.93,37.88,53.16,47.06,43.78,59.24,61.37,48.45,55.15
Romania,17.74,25.68,21.59,23.02,23.66,28.17,25.68,30.66,35.31,36.07,28.46,27.70,29.32,24.05,29.23,34.02,29.28,25.95,26.52,27.28,33.88,26.57,25.74,34.81,42.03,42.85,46.20
Spain,17.61,18.52,13.62,16.89,18.54,15.48,24.27,20.07,19.83,14.35,16.95,22.15,15.61,22.70,19.12,15.95,18.71,20.16,20.69,26.08,33.49,30.57,30.44,40.47,40.92,36.07,40.08
Sweden,51.18,44.46,52.51,53.11,43.17,47.60,38.42,48.29,49.20,48.28,57.26,51.57,48.51,43.41,44.97,51.32,49.65,52.06,54.35,58.46,55.33,55.98,59.10,54.07,55.87,63.46,57.22
United Kingdom,2.44,2.12,2.52,2.21,2.58,2.52,2.06,2.40,2.83,3.40,3.36,3.11,3.56,3.36,4.26,4.99,5.53,5.93,6.66,7.67,7.62,10.36,12.30,15.81,20.12,25.73,25.60
Norway,99.79,99.80,99.82,99.80,99.65,99.66,99.50,99.58,99.62,99.56,99.72,99.52,99.58,99.40,99.35,99.47,99.32,99.14,99.41,96.59,95.75,96.53,97.97,97.72,97.70,97.74,97.87
Turkey,40.37,37.85,39.63,46.18,39.22,41.57,42.94,38.91,38.33,29.98,24.94,19.84,26.25,25.29,30.73,24.54,25.25,19.03,17.35,19.58,26.38,25.33,27.23,28.82,20.89,32.05,32.53
CIS,13.66,14.13,15.03,16.75,18.76,18.57,17.27,17.69,18.58,18.52,18.10,18.61,17.70,16.96,18.40,17.85,17.11,16.87,15.88,17.29,16.50,15.95,15.65,16.97,16.27,15.75,16.93
Kazakhstan,8.43,8.37,8.30,9.85,13.82,12.50,12.42,12.50,12.50,12.91,14.67,14.21,15.24,13.50,12.04,11.58,10.84,10.67,9.29,8.74,9.71,9.10,8.23,7.51,7.88,7.83,7.65
Russia,15.34,15.69,17.05,18.23,20.10,20.52,18.23,18.89,19.29,19.08,18.85,19.74,18.44,17.25,19.13,18.37,17.65,17.68,16.07,17.80,16.28,15.94,15.68,17.29,16.72,15.98,17.41
Ukraine,3.59,4.28,3.20,4.89,6.07,5.23,4.83,5.64,9.21,8.43,6.68,7.06,5.65,5.22,6.54,6.74,6.76,5.39,6.14,6.98,7.10,5.74,5.91,8.12,6.02,5.13,6.54
Uzbekistan,11.80,11.13,12.34,14.97,14.97,13.04,14.37,12.54,12.54,12.55,12.54,12.55,12.55,15.43,18.02,17.54,17.99,13.07,23.00,18.68,20.98,19.54,21.35,21.33,21.35,21.02,20.97
America,25.21,25.02,24.68,25.31,24.82,25.67,26.58,26.19,24.48,24.14,23.59,22.06,23.42,23.52,23.43,23.76,24.47,24.09,24.71,26.15,25.53,27.84,27.49,27.77,27.94,28.17,30.16
North America,18.53,18.06,17.47,17.85,17.22,18.10,19.07,18.41,16.64,16.30,15.55,14.12,15.75,15.73,15.40,15.48,15.93,15.35,16.05,17.35,16.70,18.96,18.88,19.68,19.85,20.13,22.01
Canada,62.39,61.42,61.69,61.73,60.41,61.01,63.11,62.36,60.41,61.19,60.61,58.04,59.89,58.92,58.45,59.44,59.44,60.06,61.30,62.71,61.45,62.28,62.73,63.02,62.81,63.16,66.38
United States,11.96,11.33,10.48,11.00,10.31,11.39,12.20,11.59,10.22,9.63,8.81,7.42,9.20,9.49,9.22,9.12,9.79,8.91,9.53,10.78,10.61,12.69,12.41,13.03,13.36,13.58,15.42
Latin America,66.06,66.13,66.38,67.76,66.69,66.41,66.15,65.06,62.74,61.79,61.72,58.35,58.91,57.81,58.05,58.96,59.33,58.73,57.86,58.36,57.47,58.45,55.81,54.06,53.81,52.95,55.41
Argentina,35.78,30.74,35.13,39.22,42.87,40.35,33.47,39.53,36.52,27.54,33.21,41.84,43.59,37.97,31.69,33.69,37.25,30.06,26.54,29.18,28.77,32.48,29.49,31.68,31.69,29.05,26.14
Brazil,94.50,94.63,94.42,95.25,95.41,94.16,93.56,92.98,92.92,90.04,89.49,84.29,85.74,87.16,86.03,87.12,86.75,88.21,84.27,89.00,84.72,87.12,82.45,76.69,73.08,73.86,81.19
