Region,Source,Year,Data,Unit
BC,Biomass,2005,810.92,MW
BC,Biomass,2006,810.92,MW
BC,Biomass,2007,810.92,MW
BC,Biomass,2008,810.92,MW
BC,Biomass,2009,810.92,MW
BC,Biomass,2010,858.92,MW
BC,Biomass,2011,860.19,MW
BC,Biomass,2012,860.19,MW
BC,Biomass,2013,885.59,MW
BC,Biomass,2014,885.59,MW
BC,Biomass,2015,885.59,MW
AB,Biomass,2005,271,MW
AB,Biomass,2006,313.1,MW
AB,Biomass,2007,313.1,MW
AB,Biomass,2008,313.1,MW
AB,Biomass,2009,323.2,MW
AB,Biomass,2010,340.2,MW
AB,Biomass,2011,358.697,MW
AB,Biomass,2012,413.797,MW
AB,Biomass,2013,416.646,MW
AB,Biomass,2014,438.3,MW
AB,Biomass,2015,428,MW
SK,Biomass,2005,0,MW
SK,Biomass,2006,0,MW
SK,Biomass,2007,0,MW
SK,Biomass,2008,0,MW
SK,Biomass,2009,0,MW
SK,Biomass,2010,0,MW
SK,Biomass,2011,0,MW
SK,Biomass,2012,0,MW
SK,Biomass,2013,0,MW
SK,Biomass,2014,1.6,MW
SK,Biomass,2015,1.6,MW
MB,Biomass,2005,22,MW
MB,Biomass,2006,22,MW
MB,Biomass,2007,22,MW
MB,Biomass,2008,22,MW
MB,Biomass,2009,22,MW
MB,Biomass,2010,22,MW
MB,Biomass,2011,22,MW
MB,Biomass,2012,22,MW
MB,Biomass,2013,22,MW
MB,Biomass,2014,22,MW
MB,Biomass,2015,22,MW
ON,Biomass,2005,209,MW
ON,Biomass,2006,176,MW
ON,Biomass,2007,176,MW
ON,Biomass,2008,148,MW
ON,Biomass,2009,207,MW
ON,Biomass,2010,207,MW
ON,Biomass,2011,207,MW
ON,Biomass,2012,207,MW
ON,Biomass,2013,207,MW
ON,Biomass,2014,592,MW
ON,Biomass,2015,574,MW
QC,Biomass,2005,278.16,MW
QC,Biomass,2006,278.16,MW
QC,Biomass,2007,278.16,MW
QC,Biomass,2008,229.66,MW
QC,Biomass,2009,229.66,MW
QC,Biomass,2010,229.66,MW
QC,Biomass,2011,239.64,MW
QC,Biomass,2012,239.64,MW
QC,Biomass,2013,239.64,MW
QC,Biomass,2014,239.64,MW
QC,Biomass,2015,244.84,MW
NB,Biomass,2005,127.3,MW
NB,Biomass,2006,127.3,MW
NB,Biomass,2007,127.3,MW
NB,Biomass,2008,127.3,MW
NB,Biomass,2009,127.3,MW
NB,Biomass,2010,127.3,MW
NB,Biomass,2011,127.3,MW
NB,Biomass,2012,127.3,MW
NB,Biomass,2013,127.3,MW
NB,Biomass,2014,127.3,MW
NB,Biomass,2015,127.3,MW
NS,Biomass,2005,68.62,MW
NS,Biomass,2006,66.12,MW
NS,Biomass,2007,66.12,MW
NS,Biomass,2008,66.12,MW
NS,Biomass,2009,66.12,MW
NS,Biomass,2010,66.12,MW
NS,Biomass,2011,66.12,MW
NS,Biomass,2012,66.12,MW
NS,Biomass,2013,66.12,MW
NS,Biomass,2014,112.56,MW
NS,Biomass,2015,112.56,MW
PE,Biomass,2005,1,MW
PE,Biomass,2006,1,MW
PE,Biomass,2007,1,MW
PE,Biomass,2008,1,MW
PE,Biomass,2009,1,MW
PE,Biomass,2010,1,MW
PE,Biomass,2011,1,MW
PE,Biomass,2012,1,MW
PE,Biomass,2013,1,MW
PE,Biomass,2014,1,MW
PE,Biomass,2015,1,MW
NF,Biomass,2005,0,MW
NF,Biomass,2006,0,MW
NF,Biomass,2007,0,MW
NF,Biomass,2008,0,MW
NF,Biomass,2009,0,MW
NF,Biomass,2010,0,MW
NF,Biomass,2011,0,MW
NF,Biomass,2012,0,MW
NF,Biomass,2013,0,MW
NF,Biomass,2014,0,MW
NF,Biomass,2015,0,MW
NWT,Biomass,2005,0,MW
NWT,Biomass,2006,0,MW
NWT,Biomass,2007,0,MW
NWT,Biomass,2008,0,MW
NWT,Biomass,2009,0,MW
NWT,Biomass,2010,0,MW
NWT,Biomass,2011,0,MW
NWT,Biomass,2012,0,MW
NWT,Biomass,2013,0,MW
NWT,Biomass,2014,0,MW
NWT,Biomass,2015,0,MW
YT,Biomass,2005,0,MW
YT,Biomass,2006,0,MW
YT,Biomass,2007,0,MW
YT,Biomass,2008,0,MW
YT,Biomass,2009,0,MW
YT,Biomass,2010,0,MW
YT,Biomass,2011,0,MW
YT,Biomass,2012,0,MW
YT,Biomass,2013,0,MW
YT,Biomass,2014,0,MW
YT,Biomass,2015,0,MW
NU,Biomass,2005,0,MW
NU,Biomass,2006,0,MW
