Region,Latitude,Longitude
AB,53.9225,-111.0585
AB,53.0635,-112.3067
AB,51.9565,-110.0761
AB,53.8486,-114.4361
AB,54.2653,-115.3827
AB,56.6598,-117.2896
AB,49.8442,-110.78
AB,49.7318,-112.6171
AB,49.8736,-113.5074
AB,52.0306,-113.9565
AB,58.759,-111.0874
AB,59.8685,-111.6329
AB,50.0365,-110.661
AB,50.0172,-110.651
AB,50.0556,-110.6822
AB,49.7773,-112.158
AB,49.7118,-112.8196
AB,49.6915,-112.8294
AB,49.6765,-112.8035
AB,51.1791,-115.5697
AB,49.7285,-112.6146
AB,51.0459,-113.3967
AB,50.5659,-111.8896
AB,50.7064,-113.9554
AB,50.5775,-113.8747
AB,51.0868,-115.3384
AB,51.0512,-113.8155
AB,51.0759,-114.0015
AB,51.0402,-113.9844
AB,51.0318,-113.9786
AB,50.9878,-114.0001
AB,51.0632,-114.0614
AB,51.0415,-114.0599
AB,50.9857,-114.0631
AB,50.9693,-114.0514
AB,51.0857,-114.0714
AB,51.0917,-114.1127
AB,51.0696,-114.0862
AB,51.0591,-114.1146
AB,51.0472,-114.0802
AB,51.0426,-114.0791
AB,51.0171,-114.0812
AB,51.0316,-114.0994
AB,50.9909,-114.074
AB,50.9604,-114.1001
AB,50.9204,-114.0674
AB,50.9093,-114.0721
AB,50.9023,-113.9873
AB,51.0922,-114.1479
AB,51.0809,-114.1616
AB,51.0388,-114.098
AB,51.0227,-114.1342
AB,51.1147,-114.1796
AB,51.0566,-114.1815
AB,51.0999,-113.9422
AB,51.127,-114.0787
AB,51.1162,-114.2089
AB,50.8902,-113.9892
AB,51.1494,-114.0019
AB,51.1793,-114.1333
AB,51.1497,-114.2695
AB,50.9821,-114.5178
AB,51.2733,-113.9909
AB,51.2816,-114.0153
AB,51.1896,-114.4774
AB,52.2911,-113.7027
AB,52.029,-113.9474
AB,51.7956,-114.0944
AB,52.6649,-113.5823
AB,52.36,-114.3736
AB,52.2592,-113.8237
AB,52.2887,-113.8394
AB,52.2451,-113.7855
AB,52.3083,-114.0949
AB,52.378,-114.9307
AB,53.0204,-112.8129
AB,53.3571,-113.4129
AB,53.5899,-113.4413
AB,53.5766,-113.4608
AB,53.6129,-113.4572
AB,53.5923,-113.5168
AB,53.5682,-113.4822
AB,53.555,-113.4822
AB,53.5421,-113.4989
AB,53.535,-113.501
AB,53.5801,-113.541
AB,53.5614,-113.5461
AB,53.5495,-113.5453
AB,53.5529,-113.584
AB,53.5224,-113.5763
AB,53.5416,-113.6249
AB,53.5157,-113.6339
AB,53.58,-113.5873
AB,53.5705,-113.4036
AB,53.6072,-113.5183
AB,53.6026,-113.3837
AB,53.5966,-113.4882
AB,53.5483,-113.408
AB,53.5322,-113.4404
AB,53.5182,-113.4769
AB,53.5087,-113.5078
AB,53.5248,-113.5334
AB,53.4839,-113.5227
AB,53.4822,-113.5269
AB,53.4816,-113.4623
AB,53.4681,-113.4339
AB,53.4967,-113.6162
AB,53.458,-113.4826
AB,53.4996,-113.3678
AB,53.4782,-113.5873
AB,53.5729,-113.3518
AB,53.4768,-113.3662
AB,53.6202,-113.543
AB,53.4129,-113.4957
AB,53.4154,-113.4917
AB,53.2165,-114.9893
AB,53.5908,-116.4104
AB,54.1136,-114.3932
AB,54.166,-113.8452
AB,54.1407,-115.6873
AB,53.3981,-117.5552
AB,53.549,-113.8995
AB,53.4495,-113.7135
AB,53.5202,-114.0135
AB,53.519,-113.3216
AB,53.4482,-113.2706
AB,53.4162,-113.148
AB,53.4548,-113.0498
AB,53.4749,-112.9512
AB,53.5462,-113.2562
AB,53.6916,-113.2286
AB,53.6199,-113.6377
AB,53.7903,-113.646
AB,56.2539,-117.2849
AB,55.1726,-118.7997
AB,55.1389,-118.773
AB,55.1749,-118.7633
AB,52.9741,-113.3646
AB,53.4874,-112.0636
AB,53.2524,-113.5388
AB,53.3632,-113.7286
AB,56.6977,-111.3389
AB,56.7057,-111.3723
AB,56.7273,-111.4361
AB,54.4127,-110.2162
AB,54.2678,-110.7324
AB,54.7139,-113.2942
AB,53.2786,-110.0233
AB,52.8403,-110.8704
