pr,	Year, Month, Country, ISO3, ISO2
39.7591,1901,1,USA,,
41.2308,1901,2,USA,,
47.1593,1901,3,USA,,
49.7707,1901,4,USA,,
53.281,1901,5,USA,,
60.3047,1901,6,USA,,
57.7761,1901,7,USA,,
65.8838,1901,8,USA,,
58.8166,1901,9,USA,,
37.6769,1901,10,USA,,
32.8733,1901,11,USA,,
53.9394,1901,12,USA,,
31.1632,1902,1,USA,,
48.1359,1902,2,USA,,
57.0562,1902,3,USA,,
37.5312,1902,4,USA,,
61.8822,1902,5,USA,,
65.6409,1902,6,USA,,
69.8871,1902,7,USA,,
57.4327,1902,8,USA,,
62.0473,1902,9,USA,,
43.9957,1902,10,USA,,
58.364,1902,11,USA,,
57.9094,1902,12,USA,,
45.5736,1903,1,USA,,
57.7355,1903,2,USA,,
57.6391,1903,3,USA,,
40.3456,1903,4,USA,,
58.9935,1903,5,USA,,
61.3786,1903,6,USA,,
67.9052,1903,7,USA,,
71.5185,1903,8,USA,,
51.2192,1903,9,USA,,
40.5131,1903,10,USA,,
36.0875,1903,11,USA,,
32.9214,1903,12,USA,,
38.6449,1904,1,USA,,
45.3462,1904,2,USA,,
58.3838,1904,3,USA,,
41.7489,1904,4,USA,,
52.3881,1904,5,USA,,
64.2916,1904,6,USA,,
65.5361,1904,7,USA,,
64.6072,1904,8,USA,,
53.576,1904,9,USA,,
37.7067,1904,10,USA,,
23.8732,1904,11,USA,,
44.5525,1904,12,USA,,
42.794,1905,1,USA,,
44.9696,1905,2,USA,,
55.005,1905,3,USA,,
51.7323,1905,4,USA,,
75.1094,1905,5,USA,,
71.9323,1905,6,USA,,
80.3107,1905,7,USA,,
63.7073,1905,8,USA,,
57.4489,1905,9,USA,,
47.4531,1905,10,USA,,
46.0823,1905,11,USA,,
46.4186,1905,12,USA,,
50.9781,1906,1,USA,,
34.1558,1906,2,USA,,
61.0907,1906,3,USA,,
40.8275,1906,4,USA,,
62.5683,1906,5,USA,,
67.6453,1906,6,USA,,
73.7377,1906,7,USA,,
76.845,1906,8,USA,,
61.7051,1906,9,USA,,
46.3553,1906,10,USA,,
51.193,1906,11,USA,,
57.4518,1906,12,USA,,
53.4097,1907,1,USA,,
36.9365,1907,2,USA,,
46.8098,1907,3,USA,,
43.8134,1907,4,USA,,
64.5605,1907,5,USA,,
67.6635,1907,6,USA,,
68.9658,1907,7,USA,,
62.2092,1907,8,USA,,
63.0719,1907,9,USA,,
46.0716,1907,10,USA,,
45.012,1907,11,USA,,
53.3187,1907,12,USA,,
37.9117,1908,1,USA,,
55.034,1908,2,USA,,
46.7196,1908,3,USA,,
51.7842,1908,4,USA,,
82.0046,1908,5,USA,,
63.6082,1908,6,USA,,
66.6721,1908,7,USA,,
64.9172,1908,8,USA,,
