tas,	Year, Month, Country, ISO3, ISO2
-5.4153,1901,1,USA,,
-6.3461,1901,2,USA,,
-0.1491,1901,3,USA,,
5.00631,1901,4,USA,,
12.1891,1901,5,USA,,
16.9296,1901,6,USA,,
20.8455,1901,7,USA,,
19.1789,1901,8,USA,,
13.8652,1901,9,USA,,
8.66346,1901,10,USA,,
0.32735,1901,11,USA,,
-4.7551,1901,12,USA,,
-5.8735,1902,1,USA,,
-4.6688,1902,2,USA,,
-0.4942,1902,3,USA,,
5.52933,1902,4,USA,,
12.7142,1902,5,USA,,
16.8991,1902,6,USA,,
19.375,1902,7,USA,,
18.5035,1902,8,USA,,
13.603,1902,9,USA,,
8.11396,1902,10,USA,,
0.91731,1902,11,USA,,
-6.3583,1902,12,USA,,
-6.1863,1903,1,USA,,
-6.4855,1903,2,USA,,
0.0853,1903,3,USA,,
5.16708,1903,4,USA,,
11.6296,1903,5,USA,,
16.0932,1903,6,USA,,
19.0531,1903,7,USA,,
18.4058,1903,8,USA,,
13.6211,1903,9,USA,,
7.49509,1903,10,USA,,
-0.7511,1903,11,USA,,
-4.9185,1903,12,USA,,
-7.6746,1904,1,USA,,
-6.479,1904,2,USA,,
-0.7531,1904,3,USA,,
5.30997,1904,4,USA,,
12.0383,1904,5,USA,,
16.7551,1904,6,USA,,
19.2079,1904,7,USA,,
17.8839,1904,8,USA,,
14.3335,1904,9,USA,,
7.66832,1904,10,USA,,
0.92198,1904,11,USA,,
-4.485,1904,12,USA,,
-6.7044,1905,1,USA,,
-6.0829,1905,2,USA,,
2.2027,1905,3,USA,,
6.20692,1905,4,USA,,
11.8198,1905,5,USA,,
17.0228,1905,6,USA,,
19.096,1905,7,USA,,
18.9098,1905,8,USA,,
14.566,1905,9,USA,,
6.57754,1905,10,USA,,
1.39805,1905,11,USA,,
-5.4722,1905,12,USA,,
-6.7066,1906,1,USA,,
-3.8315,1906,2,USA,,
-1.6296,1906,3,USA,,
6.51966,1906,4,USA,,
11.7594,1906,5,USA,,
16.5869,1906,6,USA,,
19.3147,1906,7,USA,,
18.7216,1906,8,USA,,
15.1852,1906,9,USA,,
7.44674,1906,10,USA,,
-0.1962,1906,11,USA,,
-4.4907,1906,12,USA,,
-5.5434,1907,1,USA,,
-5.0032,1907,2,USA,,
1.28569,1907,3,USA,,
4.5866,1907,4,USA,,
10.4871,1907,5,USA,,
15.8226,1907,6,USA,,
19.2898,1907,7,USA,,
18.3814,1907,8,USA,,
14.2836,1907,9,USA,,
7.49952,1907,10,USA,,
-0.0054,1907,11,USA,,
-3.4275,1907,12,USA,,
-4.7571,1908,1,USA,,
-4.4724,1908,2,USA,,
